127.0.0.1 - - [28/Feb/2023:11:07:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:07:57 +0530] "GET /project_3/ HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:07:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:21 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:21 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:41 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:08:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:18 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:18 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9832
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/index.html HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/type-search-index.zip HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/member-search-index.zip HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/member-search-index.js HTTP/1.1" 200 113307
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/package-search-index.js HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [28/Feb/2023:11:09:25 +0530] "GET /project_3/doc/type-search-index.js HTTP/1.1" 200 5412
