127.0.0.1 - - [07/Mar/2023:18:06:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:05 +0530] "GET /project_3/ HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:10 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:06:10 +0530] "GET /project_3/img/StudyTable.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:07:08 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12274
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:07:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:07:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:07:32 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12455
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:07:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:07:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:09:35 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:09:39 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:09:39 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [07/Mar/2023:18:09:40 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5688
